+-----------+--------+-----------------+
|    Name   | Median | Fail Percentage |
|  CHIN 330 |   A-   |       0.0       |
|  CHIN 390 |   B+   |       0.0       |
|  CMNS 110 |   B    |  1.12113087984  |
|  CMNS 130 |   B    |  4.48416431483  |
| CMNS 130W |   B-   |  11.2068965517  |
|  CMNS 210 |   B    |  0.961538461538 |
|  CMNS 220 |   B+   |  0.854700854701 |
|  CMNS 221 |   B+   |  0.559049615653 |
| CMNS 223W |   B+   |  1.47167034584  |
|  CMNS 226 |   B+   |  0.480769230769 |
|  CMNS 230 |   B    |  0.538599640934 |
|  CMNS 235 |   B    |  3.09278350515  |
|  CMNS 240 |   B    |  2.20994475138  |
|  CMNS 247 |   B-   |  4.38596491228  |
| CMNS 253W |   B    |  2.48021108179  |
|  CMNS 258 |   B    |   3.7037037037  |
|  CMNS 259 |   B    |  5.88235294118  |
|  CMNS 260 |   B+   |  0.338983050847 |
|  CMNS 261 |   B-   |  1.47727272727  |
|  CMNS 262 |   B    |  1.17406840225  |
| CMNS 304W |   B+   |  0.900900900901 |
|  CMNS 310 |   B    |  2.47524752475  |
|  CMNS 321 |   B    |  0.41958041958  |
|  CMNS 322 |   B-   |  1.47058823529  |
| CMNS 323W |   B    |  0.315955766193 |
|  CMNS 324 |   B+   |       0.0       |
|  CMNS 325 |   A-   |       0.0       |
|  CMNS 326 |   B+   |       0.0       |
|  CMNS 327 |   B+   |       0.0       |
|  CMNS 331 |   B    |       1.6       |
|  CMNS 332 |   B    |  1.13421550095  |
|  CMNS 333 |   B+   |       0.8       |
|  CMNS 334 |   B    |       0.0       |
|  CMNS 342 |   B+   |  1.92307692308  |
|  CMNS 346 |   B+   |   3.6496350365  |
|  CMNS 347 |   B+   |  1.44462279294  |
|  CMNS 348 |   B+   |  1.19402985075  |
|  CMNS 349 |   B    |  1.48367952522  |
|  CMNS 353 |   B    |  0.854700854701 |
|  CMNS 354 |   B+   |       0.0       |
|  CMNS 356 |   B+   |       0.0       |
|  CMNS 357 |   B+   |       0.0       |
|  CMNS 358 |   A-   |       0.0       |
|  CMNS 359 |   B+   |       0.0       |
|  CMNS 362 |   B+   |  0.18315018315  |
|  CMNS 363 |   B    |       0.0       |
|  CMNS 375 |   B+   |       0.0       |
|  CMNS 386 |   B+   |  1.42857142857  |
|  CMNS 387 |   B+   |       0.0       |
|  CMNS 388 |   B    |  3.50877192982  |
|  CMNS 408 |   A    |       0.0       |
|  CMNS 410 |   B+   |       0.0       |
|  CMNS 423 |   A    |       0.0       |
|  CMNS 424 |   A-   |  1.23456790123  |
|  CMNS 425 |   A-   |       0.0       |
|  CMNS 426 |   A-   |  0.900900900901 |
|  CMNS 428 |   A-   |       0.0       |
|  CMNS 431 |   A    |       0.0       |
|  CMNS 432 |   B+   |       0.0       |
|  CMNS 433 |   A-   |       0.0       |
|  CMNS 435 |   B    |  1.96078431373  |
|  CMNS 437 |   B    |   3.1746031746  |
|  CMNS 443 |   B+   |  0.677966101695 |
|  CMNS 444 |   B+   |  0.558659217877 |
|  CMNS 445 |   B+   |  0.486618004866 |
|  CMNS 446 |   B+   |       0.0       |
